objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
41554,Snuff Bottle,China,Qing dynasty,1921,https://images.metmuseum.org/CRDImages/as/web-large/DP295193.jpg,H. 2 7/8 in. (7.3 cm)
42195,Bowl,China,Ming dynasty,1923,https://images.metmuseum.org/CRDImages/as/web-large/DP-20029-001.jpg,H. 4 3/4 in. (12 cm); W. at handles 7 7/8 in. (20 cm); Diam. 6 in. (15.2 cm)
50689,Plate,China,Ming dynasty,1974,https://images.metmuseum.org/CRDImages/as/web-large/1974_356_81_F_sf.jpg,H. 1 1/4 in. (3.2 cm); Diam. 8 in. (20.3 cm); Diam. of foot 4 1/2 in. (11.4 cm)
47857,Vase,China,Qing dynasty,1968,https://images.metmuseum.org/CRDImages/as/web-large/68_25_4.JPG,H. 17 3/8 in. (45.1 cm); Diam. (at shoulder) 7 3/8 in. (18.7 cm)
42267,Vase,China,Qing dynasty,1964,https://images.metmuseum.org/CRDImages/as/web-large/181176.jpg,H. incl. stand 21 3/4 in. (55.2 cm); W. 5 3/4 in. (14.6 cm)
40960,Wall Vase,China,Qing dynasty,1879,https://images.metmuseum.org/CRDImages/as/web-large/29468.jpg,H. 6 3/4 in. (17.1 cm); W. 3 1/2 in. (8.9 cm)
40794,Steaming-Pan,China,Qing dynasty,1924,https://images.metmuseum.org/CRDImages/as/web-large/24_80_320ab.JPG,H. 6 in. (15.2 cm); W. 10 in. (25.4 cm); L. 10 in. (25.4 cm)
41596,Snuff Bottle,China,Modern,1921,https://images.metmuseum.org/CRDImages/as/web-large/21_175_348ab_O1.jpg,H. 3 1/2 in. (8.9 cm)
41303,Snuff Bottle,China,Qing dynasty,1914,https://images.metmuseum.org/CRDImages/as/web-large/14_40_544_O1.jpg,H. 3 15/16 in. (10 cm)
51643,Merry Gatherings in the Magic Jar,China,unknown,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP202137_CRD.jpg,Image: 11 1/2 in. × 12 ft. 3 3/8 in. (29.2 × 374.4 cm)
47864,Jar with Cover (one of a pair),China,Qing dynasty,1914,https://images.metmuseum.org/CRDImages/as/web-large/23380.jpg,H. 16 1/2 in. (41.9 cm)
35972,Gathering Water Chestnuts,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153880.jpg,6 3/4 x 20 in. (17.1 x 50.8 cm)
36060,Fishermen Hermits in River Country,China,unknown,1947,,Image: 12 1/8 x 187 1/8 in. (30.8 x 475.3 cm)
36012,Scholar Admiring Autumn Scenery,China,Ming dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_8_20108.jpg,Image: 88 1/4 x 48 in. (224.2 x 121.9 cm)
40455,Near the Spring,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP160905.jpg,9 x 8 3/4 in. (22.9 x 22.2 cm)
40089,Men Watching a Waterfall,China,Song dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153507.jpg,11 7/16 x 10 7/8 in. (29.1 x 27.6 cm)
42560,A Journey in Search of the Artist's Parents,China,Qing dynasty,1970,https://images.metmuseum.org/CRDImages/as/web-large/1970_2_1a.jpg,15 1/2 x 11 3/8 in. (39.4 x 28.9 cm)
48929,Pavilion of the Hovering Rainbow Bridge,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP205742_CRD.jpg,"Image: 9 5/8 x 48 1/4 in. (24.4 x 122.6 cm)
Overall with mounting: 11 5/8 x 341 3/4 in. (29.5 x 868 cm)"
48884,Pavilion by Lake Shore,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153829.jpg,6 7/8 x 19 1/2 in. (17.5 x 49.5 cm)
46302,Dish with flowers,China,Qing dynasty,1971,https://images.metmuseum.org/CRDImages/as/web-large/1971_180_230_O1_sf.jpg,Diam. 4 1/2 in. (11.4 cm)
49092,Light Snow on the Mountain Pass,China,Ming-Qing,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP156829.jpg,11 7/8 x 9 1/2in. (30.2 x 24.1cm)
51292,The Hills of Kuaiji,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP165370_CRD.jpg,19 3/8 in. × 23 ft. 4 3/8 in. (49.2 × 712.2 cm)
49152,Snowscape,China,Qing dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_142_O.jpg,"Image: 52 7/8 x 21 1/8 in. (134.3 x 53.7 cm)
Overall with mounting: 86 1/2 x 25 1/2 in. (219.7 x 64.8 cm)
Overall with knobs: 86 1/2 x 29 3/8 in. (219.7 x 74.6 cm)"
49045,Hall of Harmony and Joy,China,Ming-Qing,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP-13999-004_crd.jpg,61 1/4 x 9 3/4 in. (155.6 x 24.8 cm)
51293,Traveling amid Mountains,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP165388_CRD.jpg,19 3/8 in. × 19 ft. 1 1/2 in. (49.2 cm)
49226,Magpies Gathering in a Grove by a Pavilion,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_11.jpg,Image: 65 7/8 x 20 7/8 in. (167.3 x 53 cm); Overall with mounting: 107 3/4 x 28 5/8 in. (273.7 x 72.7 cm); Overall with knobs: 107 3/4 x 32 5/8 in. (273.7 x 82.9 cm)
51401,Autumnal Hills,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP154432.jpg,9 1/8 x 9 5/8 in. (23.2 x 24.4 cm)
51402,Palace,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153547.jpg,Image: 8 7/8 × 8 7/8 in. (22.5 × 22.5 cm)
51400,The House Near the Lake,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP154433.jpg,9 1/4 x 9 3/8 in. (23.5 x 23.8 cm)
51399,Bridge in Snow,China,Song dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153548.jpg,9 3/4 x 10 1/4 in. (24.8 x 26.0 cm)
51426,Scholar Seated in Grove,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_17_O.jpg,26 1/8 x 10 in. (66.4 x 25.4 cm)
51482,Immortals' Studio by Stream and Bamboo,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_32_O.jpg,17 x 18 7/8 in. (43.2 x 47.9 cm)
51493,Mountain Scenery,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP166168_CRD.jpg,19 in. × 22 ft. 7 in. (48.3 × 688.3 cm)
51506,Mountain Scenery,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_103_O2.jpg,"Image: 53 1/2 x 23 3/4 in. (135.9 x 60.3 cm)
Overall with mounting: 83 1/2 x 30 in. (212.1 x 76.2 cm)
Overall with knobs: 83 1/2 x 34 1/4 in. (212.1 x 87 cm)"
51501,Water Buffalo,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP154414.jpg,9 1/2 x 11 1/2 in. (24.1 x 29.2 cm)
51513,Fawn at Play,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_121_O2.jpg,Overall: 24 3/4 x 54 in. (62.9 x 137.2 cm)
